Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
820,DAOHQ - Ideamarket DAO,['0xb41bd...1f814'],"The credibility layer of the internet. If Bitcoin is money without banks, Ideamarket is “credibility without institutions.”
",[],['4.2K'],"['credibility' 'credibility layer' 'money' 'ideamarket' 'bitcoin'
 'internet' 'institutions' 'banks']",['Bitcoin' 'Ideamarket' 'credibility layer' 'internet']
821,DAOHQ - Tally DAO,"['DAO Tools', 'DeFi']","Voting dashboard, aggregating data from defi protocols’ governance and providing it in real-time for research and analysis
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '10.2K']","['analysis' 'data' 'governance' 'voting dashboard' 'time' 'research'
 'defi protocols']",['Voting' 'defi protocols' 'governance']
822,DAOHQ - Krause House DAO,['SPAD'],"Community of hoops fanatics that are crazy enough to purchase and operate an NBA team as a DAO
 
Krause House DAO is an organization with the ultimate goal of owning and
operating an NBA team governed by our members, known as Jerry's. Together, we
will write the consensus rules that will bring the first fan-governed team to
the NBA. The collective of ambitious contributors whose goal is to own an NBA
team describes the underlying mission of DAOs in its purest form: Difficult by
one, achievable by many.
","['Krause House', 'Football Club DAO']","['Ethereum', '17.6K']","['consensus rules' 'first fan' 'organization' 'dao'
 'ambitious contributors' 'community' 'hoops fanatics' 'purest form'
 'underlying mission' 'nba' 'ultimate goal' 'daos' 'nba team' 'collective'
 'jerry' 'goal' 'team' 'members' 'krause house dao']",['Krause House DAO' 'consensus rules' 'hoops fanatics']
823,DAOHQ - FiatLux Dao,"['Social', 'Protocol']","DAO with the mission of highlighting the importance of science and technology to society, while leveraging the power of crypto to fund breakthrough academic research in novel & more accessible ways.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '1.2K']","['power' 'dao' 'society' 'accessible ways' 'science' 'mission'
 'academic research' 'crypto' 'importance' 'novel' 'breakthrough'
 'technology']",['academic research' 'crypto']
824,DAOHQ - Mirror DAO,"['Media', 'DAO Tools']","Media/publishing platform DAO
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']","['Ethereum', '89.4K']",['media' 'publishing platform dao'],[]
825,DAOHQ - Avantgarde Finance DAO,"['DAO Tools', 'DeFi', 'Service']","DeFi Services for Treasury Management, Asset Management & Dapp Developers
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '2.9K']","['treasury management' 'defi services' 'asset management'
 'dapp developers']",['Asset Management' 'DeFi Services' 'Treasury Management']
826,DAOHQ - Game7 DAO,"['Grant', 'Investment', 'Gaming']","Game7 is an Autonomous Institution with a $500m treasury managed and deployed by its community. This community will shape capital allocation decisions, define GameFi standards, fund open-source software and help make the gaming industry equitable and fair.
","['Yam', 'MCN Ventures', 'Gnars DAO', 'The Sanctuary']",[],"['gamefi standards' 'fund' 'gaming industry' 'game7'
 'autonomous institution' 'community' 'm treasury' 'source software'
 'capital allocation decisions']","['Autonomous Institution' 'Game7' 'GameFi standards'
 'capital allocation decisions' 'gaming industry']"
827,DAOHQ - DeFi Alliance DAO,"['DAO Tools', 'Protocol']","The leading decentralized finance accelerator
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '74.0']",['finance accelerator'],['decentralized finance accelerator']
828,DAOHQ - Mina Protocol DAO,['Protocol'],"Mina Protocol aims to be a lightweight blockchain that maintains a constant size of just 22 kB, regardless of how many transactions are committed to the network
","['Aave', 'ARCx', 'APWine', 'API3']","['Bitcoin', '228.7K']","['constant size' 'many transactions' 'lightweight blockchain' 'kb'
 'mina protocol' 'network']",['Mina Protocol' 'blockchain']
829,DAOHQ - CUDOS DAO,"['DAO Tools', 'Protocol']","Powering Smart Contracts, DeFi and the Internet
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '48.8K']",['powering smart contracts' 'defi' 'internet'],['DeFi' 'Internet' 'Smart Contracts']
830,DAOHQ - Clarity DAO,['DAO Tools'],"Simplest all-in-one workspace for decentralized teams
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '5.8K']",['teams' 'workspace'],['decentralized teams']
831,DAOHQ - Panvala DAO,['Social'],"Network of communities who cooperate and earn perks from Panvala’s shared endowment
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '2.7K']",['communities' 'perks' 'panvala' 'endowment' 'network'],['Panvala' 'shared endowment']
832,DAOHQ - Sorare DAO,['Collector'],"Fantasy football game based around Blockchain, where users can trade players, enter tournaments & compete for prizes
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '2.5K']","['players' 'users' 'prizes' 'tournaments' 'fantasy football game'
 'blockchain']",['Blockchain' 'Fantasy football game']
833,DAOHQ - Ancient Shrooms DAO,"[' magicmushroomclubnft.com Discord  Twitter ', ' magicmushroomclubnft.com', ' Discord ', ' Twitter ']","A web3 community focused on the power of medicinal mushroom research and benefits.
",[],['40.1K'],['web3 community' 'power' 'medicinal mushroom research' 'benefits'],['medicinal mushroom research' 'web3 community']
834,DAOHQ - OriginalsDAO,"['Social', 'Collector']","📸 99 Original, 1/1 Polaroids By @LoganPaul — One NFT Auctioned Daily
","['1Hive', '8DAO', '4k', 'ACryptoS']",['45.2K'],['polaroids' '📸' 'daily' 'nft' '@loganpaul' 'original'],[]
835,DAOHQ - RedStone DAO,['Protocol'],"Cross-chain solution that takes the best from different chains
","['Aave', 'ARCx', 'APWine', 'API3']","['Arweave', '7.3K']",['different chains' 'cross - chain solution'],[]
836,DAOHQ - SourceCred DAO,['DAO Tools'],"DAO & community tool to measure & reward value creation
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '3.9K']",['community tool' 'dao' 'value creation'],['community tool']
837,DAOHQ - Staked DAO,['DeFi'],"Opportunity to compound crypto through staking and lending
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '7.9K']",['crypto' 'opportunity' 'lending'],['crypto' 'lending' 'staking']
838,DAOHQ - Pocket Network DAO,['DAO Tools'],"Decentralized RPC protocol to access any blockchain
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '58.0K']",['rpc protocol' 'blockchain'],['Decentralized RPC protocol' 'blockchain']
839,DAOHQ - JPG NFT Index DAO,"['DeFi', 'Investment']","Governance space for the JPG NFT Index token from Index Coop. Governance is provided by the Collectooors NFT holders. https://collectooors.mirror.xyz/
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",[],"['governance space' 'index coop' 'governance' 'collectooors nft holders'
 'jpg nft index' 'https://collectooors.mirror.xyz/']","['Collectooors NFT holders' 'Governance space' 'Index Coop'
 'JPG NFT Index token']"
840,DAOHQ - Club721 DAO,['Collector'],"The best club for NFT-based in Asia, but worldwide friendly.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '58.6K']",['asia' 'best club' 'nft'],['Asia']
841,DAOHQ - DegenzDAO,"['Media', 'Collector']","Degenz is an online community of degenerates punting around crypto and NFTs. We write daily market updates for our members and produce multiple weekly NFT reports on specific projects.
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']",['9.2K'],"['daily market updates' 'degenz' 'online community' 'members' 'crypto'
 'degenerates' 'nfts' 'multiple weekly nft reports' 'specific projects']",['Degenz' 'degenerates' 'online community']
842,DAOHQ - Take Profit Finance DAO,['DeFi'],"The first DeFi allowing for a diversified return on your staked tokens. Rewards claimable in stable, low, medium, high risk coins and Cake. Autocompounding!
 TiPiDao is a decentralized reserve currency protocol based on the TPD token and aims at building a community-owned decentralized financial infrastructure for the crypto world.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '417.0']","['high risk coins' 'cake' 'crypto world' 'staked tokens' 'first defi'
 'reserve currency protocol' 'community' 'financial infrastructure'
 'autocompounding' 'tipidao' 'tpd' 'diversified return' 'rewards']",['TiPiDao' 'decentralized reserve currency protocol' 'high']
843,DAOHQ - Tethys Finance DAO,['DeFi'],"One-stop decentralized platform to fulfil all kinds of trading needs with the speed of Metis network
 We believe that in the future, L2 solutions will help Ethereum with scaling. Our mission is to empower the Metis Andromeda network with a fast, secure, reliable, and advanced native decentralized exchange app to handle all kinds of trading needs.
Tethys was released on the 17th of December 2021 on Metis Andromeda network.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['4.0K'],"['ethereum' 'december' 'trading needs' 'metis andromeda network' 'tethys'
 '17th' 'stop' 'platform' 'speed' 'metis network' 'l2 solutions' 'scaling'
 'mission' 'exchange app' 'future' 'kinds']","['Ethereum' 'Metis Andromeda network' 'Metis network' 'Tethys'
 'decentralized exchange app']"
844,DAOHQ - Stargate DAO,"[' stargate.finance Discord  Twitter  Whitepaper ', ' stargate.finance', ' Discord ', ' Twitter ', ' Whitepaper ']","Stargate is a fully composable liquidity transport protocol that lives at the heart of Omnichain DeF
",[],['11.8K'],"['heart' 'stargate' 'omnichain def'
 'composable liquidity transport protocol']",['Omnichain DeF' 'Stargate' 'composable liquidity transport protocol']
845,DAOHQ - Doodles DAO,['Collector'],"A community-driven collectibles NFT project
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '458.0K']",['collectibles nft project' 'community'],[]
846,DAOHQ - chainclubdao,"[' www.chainclub.cn Discord  Twitter ', ' www.chainclub.cn', ' Discord ', ' Twitter ']","Globally leading learning community and media, focusing on DeFi,NFT,Metaverse,ETH2.0,PolkaDot and Web3.0 techs.
",[],['530.0'],"['techs' 'metaverse' 'community' 'eth2.0,polkadot' 'nft' 'defi' 'media']",['DeFi' 'Metaverse' 'NFT' 'PolkaDot' 'learning community']
847,DAOHQ - BLVKHVND DAO,['Gaming'],"The first decentralized esports gaming cooperative (dSports).
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']",[],['dsports' 'first decentralized esports'],['decentralized esports gaming cooperative']
848,DAOHQ - ConsenSys Mesh DAO,"['Investment', 'Protocol', 'Service']","Incubator, investor, software provider, educator, and most importantly, an enabler of Ethereum adoption
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '4.7K']","['ethereum adoption' 'software provider' 'investor' 'incubator' 'educator'
 'enabler']",['Ethereum']
849,DAOHQ - PlaidDAO,"[' www.plaiddao.org Discord  Twitter ', ' www.plaiddao.org', ' Discord ', ' Twitter ']","A community of Web3 enthusiasts and promotors for a better era of all
",[],['9.1K'],['community' 'web3 enthusiasts' 'promotors' 'better era'],['Web3 enthusiasts']
850,DAOHQ - Venture DAO,['Investment'],"Investment fund branch of MetaCartel
 MetaCartel Ventures (Venture DAO) is a for-profit DAO created by the MetaCartel community for the purposes of making investments into early-stage Decentralized Applications (DApps). It embodies a community-oriented membership structure and offers radical flexibility in participation in a manner that is unparalleled by traditional “venture capital fund” models.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '22.2K']","['stage decentralized applications' 'membership structure'
 'metacartel community' 'venture dao' 'metacartel ventures' 'dapps'
 'participation' 'radical flexibility' 'profit dao' 'purposes' 'manner'
 'models' 'community' 'venture capital fund' 'investment fund branch'
 'metacartel' 'investments']",['Decentralized Applications' 'MetaCartel' 'MetaCartel Ventures']
851,DAOHQ - Poap DAO,"['DAO Tools', 'Social']","POAPs are digital mementos, minted in celebration of life’s remarkable moments.
 POAP allows event organizers to better engage with their audiences by providing a customized experience. POAPs not only offer special designs but allow for a range of integrated services such as private chat rooms, raffles and more.
Users can generate their own POAP collections to prove the places they’ve been to and earn bragging rights.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '130.3K']","['poaps' 'experience' 'life ’s' 'audiences' 'users' 'range'
 'special designs' 'services' 'own poap collections' 'places'
 'digital mementos' 'private chat rooms' 'raffles' 'poap'
 'event organizers' 'remarkable moments' 'celebration' 'bragging rights']","['POAP' 'POAPs' 'event organizers' 'integrated services'
 'private chat rooms' 'raffles']"
852,DAOHQ - Swift Finance DAO,['DeFi'],"The first yield farm that requires active management and participation by its farmer, known as an “active rotation harvest-tending” yield farm
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '1.8K']","['active management' 'participation' 'yield farm' 'first yield farm'
 'active rotation harvest' 'farmer']",['first yield farm']
853,DAOHQ - Hodl Hodl DAO,['DeFi'],"Lending & trading platform that doesn’t hold funds
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '27.7K']",['trading platform' 'funds' 'lending'],['trading platform']
854,DAOHQ - Schnoodle ĐAO DAO,"['Entertainment', 'DeFi']","$SNOOD is a true trustless and progressive DeFi DAO that bridges key cryptocurrency concepts such as meme, yield farming, NFTs, and multichain interoperability
 Schnoodle is a true trustless and progressive DeFi DAO that bridges key cryptocurrency concepts including meme, yield farming, NFTs, and multichain interoperability. As an investor in Schnoodle, there are many opportunities for you to gain SNOOD tokens. Simply buy and hold (BARK algorithm), farm via the Moon Farming Platform, or earn via Dework.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']","['Ethereum', '1.3K']","['farm' 'schnoodle' 'progressive defi dao' 'moon farming platform' 'snood'
 'key cryptocurrency concepts' 'investor' 'many opportunities' 'farming'
 'dework' 'true trustless' 'snood tokens' 'multichain interoperability'
 'nfts' 'bark algorithm']","['BARK algorithm' 'Moon Farming Platform' 'NFTs' 'SNOOD tokens'
 'Schnoodle' 'cryptocurrency' 'meme' 'multichain interoperability'
 'yield farming']"
855,DAOHQ - Figment Networks DAO,"['DeFi', 'Investment']","Staking, middleware, and application layer solutions for institutions and developers investing in and building on Web 3 technology.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '22.6K']","['staking' 'web' 'developers' 'middleware' 'application layer solutions'
 'institutions' 'technology']",['Staking' 'application layer solutions' 'middleware']
856,DAOHQ - Portion DAO,['Collector'],"The premier online marketplace connecting artists and collectors through Blockchain technology to easily sell, invest and own art and collectibles with complete transparency
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '27.6K']","['collectibles' 'artists' 'own art' 'premier' 'collectors'
 'complete transparency' 'blockchain technology' 'online marketplace']",['Blockchain technology' 'collectibles' 'online marketplace']
857,DAOHQ - Fantohm DAO,['0xfa1fb...86286'],"Fantohm is a reserve currency protocol forked from Olympus DAO on Fantom chain.
 The FHM Protocol Token functions as a modifiable reserve asset which backs this bridging economy, with its Stakeholders’ DAO governors as the chief line of common sense defence against taking actions that would harm the long term growth of its treasury.
",[],"['Fantom', '8.8K']","['dao governors' 'modifiable reserve asset' 'fantohm' 'treasury'
 'olympus dao' 'fhm protocol token functions' 'chief line'
 'reserve currency protocol' 'bridging economy' 'actions' 'stakeholders'
 'fantom chain' 'long term growth' 'common sense defence']","['FHM Protocol Token' 'Fantohm' 'Fantom chain' 'Olympus'
 'common sense defence' 'reserve asset' 'reserve currency protocol']"
858,DAOHQ - Monzter Minions  DAO,"[' monzterminions.art Discord  Twitter  Whitepaper ', ' monzterminions.art', ' Discord ', ' Twitter ', ' Whitepaper ']","Monzter Minions DAO and community funds voting will take place on Discord followed by secondary finalized voting procedures on SnapShot.
",[],[],"['secondary finalized voting procedures' 'monzter minions dao' 'place'
 'community funds voting' 'snapshot' 'discord']",['Discord' 'Monzter Minions' 'SnapShot' 'community funds voting']
859,DAOHQ - Woodies DAO,"[' www.woodiesnft.com Discord  Twitter ', ' www.woodiesnft.com', ' Discord ', ' Twitter ']","Woodies is a decentralized web3 entertainment brand with a collection of 9,739 NFTs on the Ethereum blockchain.
",[],[],"['web3 entertainment brand' 'nfts' 'woodies' 'ethereum blockchain'
 'collection']",['Ethereum blockchain' 'Woodies' 'decentralized web3 entertainment brand']
860,DAOHQ - Ummah DAO,"['Metaverse', 'Service', 'Social']","Create an Islamic & Autonomous Metaverse Society
 A purely blockchain-based, Islamic metaverse would provide digital native Muslim generations and seekers a platform to learn, socialize, earn, shop, and game while aligning the heart, mind, and life towards Allah.
","['About', 'Bears Deluxe', 'CabinDao', 'Adventure Gold', 'BreederDAO']",['Ethereum'],"['seekers' 'heart' 'digital native muslim generations' 'islamic metaverse'
 'life' 'allah' 'islamic' 'shop' 'autonomous metaverse society' 'platform'
 'game' 'mind' 'earn']",['Islamic metaverse' 'digital native Muslim generations']
861,DAOHQ - Orochi DAO V2 DAO,['Social'],"An events-focused DAO born from the @metacartelDAO sponsoring events for @efdevcon and beyond. Developed by @wearekickback
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '403.0']",['dao' '@wearekickback' '@efdevcon' 'events' '@metacarteldao'],[]
862,DAOHQ - SporkDAO,['0x9ca6a...f5e39'],"SporkDAO represents the final leg of the journey towards transitioning ETHDenver to a community owned ecosystem.
 SporkDAO has two main purposes:
To realize the vision of Colorado becoming a destination of choice for Web3 innovation while also becoming the “First Digital State” as announced by Governor Jared Polis in February 2021.
To merge the greater Web3 community with Colorado by providing access to world-class events, experiences, swag, and value creation.
",['About'],['1.3K'],"['web3 innovation' 'governor jared polis' 'february' 'sporkdao'
 'experiences' 'vision' 'first digital state' 'main purposes' 'journey'
 'community' 'class events' 'world' 'final leg' 'colorado' 'choice'
 'greater web3 community' 'swag' 'ethdenver' 'destination' 'access'
 'ecosystem' 'value creation']","['Colorado' 'Digital State' 'ETHDenver' 'SporkDAO' 'Web3 community'
 'Web3 innovation' 'community owned ecosystem']"
863,DAOHQ - Volatility Protocol DAO,['Protocol'],"DeFi’s source for composable volatility metrics
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '15.5K']",['source' 'composable volatility metrics' 'defi'],['composable volatility metrics']
864,DAOHQ - Litedex Protocol DAO,"['Operating Systems', 'Protocol', 'DeFi']","To provide liquidity services in one platform for higher quality assets, reliable, diverse, democratic, cost-effective and secure trading experience for DeFi users around the world.
 Litedex is a decentralized exchange protocol that adopts the world’s most popular blockchains;
Binance Smart Chain, Ethereum Network, Huobi Eco Chain, Polygon Matic Network, Tron Network,
Polkadot Network and Solana Network. As the first DeFi platform in Indonesia, Litedex also gained the
advantages from some of the best decentralized protocols and create an ecosystem that is very
beneficial for LDX Token holder. Our commitment is to build a DeFi ecosystem within the decentralized
available features to provide liquidity services in one platform for higher quality assets, reliable,
diverse, democratic, cost-effective and secure trading experience for DeFi users around the world.
","['Litedex Protocol', 'Loopring']",['Binance'],"['protocols' 'popular blockchains' 'litedex' 'cost' 'available features'
 'indonesia' 'liquidity services' 'tron network' 'huobi eco chain'
 'advantages' 'defi users' 'platform' 'world' 'ldx token holder'
 'solana network' 'defi ecosystem' 'first defi platform'
 'exchange protocol' 'binance smart chain' 'polkadot network' 'commitment'
 'polygon matic network' 'secure trading experience' 'ecosystem'
 'ethereum network' 'higher quality assets']","['Ethereum Network' 'Huobi Eco Chain' 'Indonesia' 'LDX Token holder'
 'Litedex' 'Polkadot Network' 'Polygon Matic Network' 'Solana Network'
 'Tron Network' 'decentralized exchange protocol' 'higher quality assets'
 'inance Smart Chain' 'liquidity services' 'secure trading experience']"
865,DAOHQ - VectorDAO,"['Service', 'Social']","We’re a collective of application designers & developers contributing work to crypto protocols in order to accelerate their mainstream adoption.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']",[],"['protocols' 'order' 'mainstream adoption' 'developers'
 'application designers' 'work' 'collective']",['crypto protocols']
866,DAOHQ - Multicoin Capital DAO,['Investment'],"Investment firm focused on cryptocurrency and blockchain companies
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '53.6K']",['companies' 'investment firm' 'cryptocurrency'],['Investment firm' 'blockchain companies' 'cryptocurrency']
867,DAOHQ - X Marketplace DAO,"['Social', 'Collector']","X is a community-owned, cross-chain NFT marketplace
 X is a multi-chain decentralised NFT marketplace that is owned and operated by the X community. Governance is provided by the X DAO with voting rights given to users who have staked their X tokens for the veX governance token. We’re a community that celebrates radical self expression and inclusiveness with no prerequisites placed to participate
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '5.7K']","['nft marketplace' 'chain nft marketplace' 'governance' 'x dao'
 'inclusiveness' 'cross -' 'users' 'voting rights' 'multi - chain'
 'community' 'x' 'x community' 'prerequisites' 'x tokens'
 'radical self expression' 'vex governance']","['X' 'X DAO' 'governance' 'inclusiveness' 'self expression' 'veX'
 'voting rights']"
868,DAOHQ - OlympusDAO,['Protocol'],"The Olympus protocol sets up a decentralized reserve token that’s collateralled by crypto assets rather than pegged to $US. It relies on diverse, protocol-owned over-collateralization and native compounding incentives.\nCommunity governance …
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '206.3K']","['collateralization' '’s' 'crypto assets' 'reserve' 'olympus protocol'
 'us' 'protocol' 'native compounding incentives.\\ncommunity governance …']","['Community governance' 'Olympus' 'crypto assets'
 'decentralized reserve token' 'native compounding incentives']"
869,DAOHQ - Aragon DAO,['Service'],"Govern better, together.
Aragon is the leading platform for decentralized governance and DAO tooling.
 Aragon is a suite of applications and services that enable new forms of global communities.
Communities can organize around capital assets, currency, or tokens, which will increase in value as more people hold and use that asset to participate in the community.
By providing the tools for people to turn a community, cause, or even a meme into its own economy, we can unlock a long-tail of DAOs that are not limited just to protocols like Ethereum or Bitcoin.
Aragon not only provides basic financial tools like tokenization but can create reproducible and broadly applicable templates for defining the boundaries of a community and flowing value to contributors over the internet without traditional intermediaries.
But this isn’t science fiction, it’s happening now, and you can be a part of it.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '113.9K']","['protocols' 'traditional intermediaries' 'tokenization' 'bitcoin' 'cause'
 'n’t science fiction' 'decentralized governance' 'people' 'value' 'meme'
 'basic financial tools' 'community' 'platform' 'contributors' 'internet'
 'ethereum' 'capital assets' 'more people' 'aragon' 'applications' 'daos'
 'new forms' 'applicable templates' 'currency' 'boundaries' 'tokens'
 'suite' 'own economy' 'global communities' 'part' 'communities'
 'services' 'tools' 'asset' 'dao tooling' 'tail']","['Aragon' 'Bitcoin' 'DAO tooling' 'Ethereum' 'capital assets' 'currency'
 'decentralized governance' 'global communities' 'internet' 'protocols'
 'tokenization' 'tokens']"
870,DAOHQ - Huckleberry DAO,['DeFi'],"https://huckleberry.finance
 Huckleberry is a community driven AMM crosschain DEX and lendin’ platform built on Moonriver. Everything we do is community driven which allows all users to have a say in the future direction of the DEX.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Moonriver', '1.6K']","['amm crosschain dex' 'dex' 'users' 'everything' 'community' 'platform'
 'moonriver' 'https://huckleberry.finance' 'say' 'huckleberry'
 'future direction']",['AMM' 'Huckleberry' 'Moonriver' 'crosschain DEX' 'huckleberry']
871,DAOHQ - Decentral Games DAO,['Protocol'],"Play Free Poker , Earn $ICE , Build Your Own Guild  in the Metaverse
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '151.5K']",['free poker' 'ice' 'own guild' 'metaverse'],['Metaverse']
872,DAOHQ - CongruentDao,"['Media', 'Social Impact']","Accumulating DeFi protocol governance tokens and developing Governance-as-a-Service products.
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']",['Ethereum'],['defi protocol governance tokens' 'governance' 'service products'],['DeFi protocol governance tokens']
873,DAOHQ - Synthetix DAO,['Protocol'],"A new financial primitive enabling the creation of synthetic assets, offering unique derivatives and exposure to real-world assets on the blockchain. #DeFi
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '265.0K']","['synthetic assets' 'exposure' 'blockchain' 'creation'
 'new financial primitive' 'defi' 'unique derivatives' 'world assets']",['blockchain' 'derivatives' 'financial primitive' 'synthetic assets']
874,DAOHQ - Bulldog DAO,"[' bulldog.club/# Discord  Twitter ', ' bulldog.club/#', ' Discord ', ' Twitter ']","Bulldog aims to become a community focusing on the eco-investment and construction of the “APE universe”
",[],['1.9K'],['construction' 'community' 'bulldog' 'eco - investment' 'ape universe'],['Bulldog']
875,DAOHQ - Dios Finance DAO,['0x08eec...31de7'],"Decentralized Reserve Protocol on Binance Smart Chain.
",[],[],['decentralized reserve protocol' 'binance smart chain'],['Binance Smart Chain' 'Decentralized Reserve Protocol']
876,DAOHQ - KogeCoin DAO,"['DeFi', 'Social']","A community token and yield optimizer on POLYGON
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Polygon', '8.6K']",['optimizer' 'community' 'polygon'],['community token' 'yield optimizer']
877,DAOHQ - Weary Ape Yacht Club DAO,"[' reyna.ventures/#/wayc Discord  Twitter ', ' reyna.ventures/#/wayc', ' Discord ', ' Twitter ']","""Weary Ape Yacht Club’’ is a private collection of unique digital NFTs stored as ERC-721 tokens on Polygon blockchain hosted on IPFS.
",[],['1.5K'],"['weary ape yacht club' 'ipfs' 'polygon blockchain' 'unique digital nfts'
 'erc-721 tokens' 'private collection']",['IPFS' 'Polygon blockchain' 'Weary Ape Yacht Club']
878,DAOHQ - RabbitHole DAO,"['DAO Tools', 'DeFi', 'Protocol']","Reward users with unique tokens or rewards for interacting with their smart contracts and testnets
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '113.2K']",['testnets' 'unique tokens' 'users' 'smart contracts' 'rewards'],['smart contracts' 'testnets']
879,DAOHQ - MetaClan DAO,['Metaverse'],"Crypto native eSports DAO
","['Bears Deluxe', 'BreederDAO', 'Adventure Gold', 'CabinDao']","['Ethereum', '932.0']",['native esports dao' 'crypto'],['Crypto native eSports']
880,DAOHQ - TRAC Student Council DAO,"[' teenrebelapeclub.com Twitter ', ' teenrebelapeclub.com', ' Twitter ']","DAO for Teen Rebel Ape Club project. 8,888 Rebel Apes Running Wild On The Blockchain.
",[],[],['dao' 'teen rebel ape club project' 'blockchain' 'wild' 'rebel apes'],['Teen Rebel Ape Club']
881,DAOHQ - KaramelaDAO,['Social'],"KaramelaDAO is a for-profit decentralized autonomous organization
 Inside Karamela you will find Teams and Projects, with goals that range from education to profitability. We don’t have hierarchy, people are organized in Teams in a free and open way, in which everyone is invited to participate and make additions.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Polygon', '356.0']","['autonomous organization' 'education' 'profit' 'profitability' 'people'
 'karameladao' 'everyone' 'projects' 'teams' 'goals' 'additions'
 'hierarchy' 'karamela' 'open way']","['KaramelaDAO' 'Teams' 'decentralized autonomous organization' 'education'
 'profitability']"
882,DAOHQ - Aleo DAO,"['DAO Tools', 'DeFi']","Aleo building the world’s leading developer platform for enabling absolute privacy on blockchains
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '83.9K']",['blockchains' 'aleo' 'world' 'developer platform' 'absolute privacy'],['Aleo' 'blockchains' 'developer platform' 'privacy']
883,DAOHQ - RatDAO Art DAO,"[' ratdao.art Discord  Twitter ', ' ratdao.art', ' Discord ', ' Twitter ']","Tokenizing & decentralizing the fine art world one $CHEESE token at a time.
",[],[],['cheese' 'fine art world' 'time' 'tokenizing'],['decentralizing' 'fine art world']
884,DAOHQ - Crypto Chicks DAO,['Social'],"The Crypto.Chicks Collection was created to highlight the importance of women in the crypto space and reflects the individuality and uniqueness of every woman.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '15.0K']","['women' 'woman' 'crypto' 'importance' 'uniqueness' 'chicks collection'
 'crypto space' 'individuality']",[]
885,DAOHQ - Magipop DAO,"['Social', 'Collector', 'Media']","Create and own IPs together in our magipop DAO in a web3 way.
","['1Hive', '8DAO', '4k', 'ACryptoS']",['10.0K'],['magipop dao' 'web3 way' 'ips'],['magipop DAO']
